labelcode,cutword
84,電子遊戲機 分類 電子遊戲 場業 提供 獎品 每次 兌換 取得 獎品 價值 規定 為何 便利商店 雜貨店 擺設 電子遊戲機 是否 違法
17,臺北市 條 公車專用道 站臺 區域 禁菸 公車專用道 實施 違規 吸菸者 罰 鍰
145,請問 參觀 臺北市立美術館 票價 優待
128,請問 申請 團體 預約 導覽
106,收到 限期 接管 通知書 施工 同意書
132,何謂 履約保證
77,青發 處 是否 設有 無障礙 廁所
9,使用 中興保全 緊急 救援 系統 已經 外出 忘記 告知 中興保全 請問
128,動物園 提供 開水 請問 園區 內有 飲水機 位置
86,已經 匯款 賣家 卻 收到 標的 商品
30,高齡 駕駛 人 健康 評估 交通安全 常識
93,合法 建物 原 容積 證明文件 檢附 困難 應 處理
100,請問 中山堂 場地 租借 費用
91,為何 限制 出境
116,查詢 物價指數
76,我家 房子 九二 一大 震後 嚴重 損壞 市政府 派員 會同 專業 技師 勘估 並評 危險 無法 補強 請問 我該
13,臺北市立 陽明 教養院 教養 內容
80,臺北市 預計 時會 實際 進行 自動駕駛 小巴 上路
137,搭乘 公車 乘客 繫 安全帶 相關 事宜 為何
103,民眾 拾得 遺失物 交存 派出所 後續 相關 作業 程序
100,查詢 中山堂 中正廳 光復 廳 廣場 檔期
148,請問 公園 泳池 開放 時間 地點 票價
129,環境保護局 廢棄物 處理 場內 設置 山豬窟 游泳池 交通 問題
31,吊扣 駕照 執行 之起 時間 計算
3,店家 網站 任何人 販售 供應 提供 下載 暴力 色情 猥褻 限制級 電腦 遊戲 軟體 予 未滿 歲 兒童 少年 檢舉 通報
2,身心障礙者 需求 評估 相關 福利 服務 有問題 洽詢 單位
122,臺北市 客家 圖書 影音 中心 開放 借閱 時間
21,大陸 遊客 臺北市 區 如有 緊急事件 有何 求助 管道
22,陳述 申訴 不服
139,押 標金 繳納 發票 抬頭 全銜 為何
8,申請 住院 臨時 看護 補助 應備 文件
120,小朋友 幾歲 進入 小學 就讀
80,發展 自動駕駛 小巴 是否 一例一休 導致 勞動 人力 吃緊
56,辦理 逾期 未 贖回 質借 物品 公開 現場 標售
3,想要 收養 小孩 不知 道 哪裡 申請
63,臺北市 單一 陳情 系統 HELLOTAIPEI 案件 為何 無法 查詢處理 情形
85,不以 營利 目的 並經 政府 核准 公益 社團 自有 供 辦公 使用 房屋 可否 免徵 房屋 稅
26,已 承租 本市 出租 國宅 中繼 國宅 公共 住宅 是否 提出申請 公共 住宅
12,市府 生活 廣場 活動 式 臨時 攤位 FAQ
125,巷口 有劃 紅線 沒劃
6,低收入 戶及 中低收入 戶 能否 一併 申請
88,臺北市政府 富邦 股東 是否 台北 富邦銀行 進行 業務 督導
117,辦理 區段 徵收 法令 依據 目的
84,請問 貴局 陳情 管道
54,民眾 不知 道 駕駛 行為 違規 情事 事後 密集 收到 多張 罰單 造成 民怨 警察局 有無 因應 作為
64,僑民 役男 歸國 僑民 原具 香港 澳門地區 僑民 身分 役男 依法 尚 不須 辦理 徵兵 處理 申辦 出境
52,本市 運動 中心 聯絡 方式 為何
78,颱風 超大 豪雨 期間 滯停 堤外 車輛 未 自行 撤離 處理方式
25,民眾 主動 通報 登革熱 有何 好處
21,請問 台北市 雙層 觀光 巴士 營運 時間 路線 相關 票價
50,地籍 清理 條例 施行 前 已經 民政 機關 備查 神明 是否 規約 土地法 條之 規定 出售 土地
109,他的國 家 公開 類似 土壤液化 潛勢 圖
15,何謂 總 決算
10,何謂 特定 工廠 需 申請 特定 工廠 申請 許可 標準 何在
128,請問 園區 哪些地方 可蓋 遊園 紀念章
21,申請 使用 有線電視 公用 頻道 播出 製 節目
143,學校 減班 調動 辦法
26,申請 臺北市 現有 巷道 廢止 改道 應 檢附 書圖 文件
46,納稅 義務人 稅捐稽徵 機關 核定 稅額 或罰 鍰 處分 如有 不服 請求 救濟
123,學生 悠遊卡 尚未 完成 記名 卡 押金 制 悠遊卡 後 影響
141,申請 核發 公有 零售 市場 攤 鋪 位 證明書
38,烏來杜鵑 有何 珍貴 之處
68,遺體 冷藏 費用 計算
129,環境保護局 廢棄物 處理 場內 設置 山豬窟 游泳池 收費 標準
4,市民 代賑 工薪 津 撥付 事宜
33,索取 文化 快遞
121,調訓 後 不克 前來 參訓 處理
5,性騷擾 事件 蒐集 證據
97,市民 辦理 道路 土地 捐贈 需 準備 文件 辦理 方式 為何
81,提早 就業 獎助 津貼 申請 方式
108,違反 臺北市野雁保護區 管制 事項 後果
14,農產 加工品 驗證 之前 業者 可不可以 先 產品 原料 名稱 註明 原料 有機 原料 含有 有機 成分
134,請問 農產品 販運 商 許可證 有效 期間 多久
60,機電 設施 捷運系統 電 扶梯 是否 發生 倒 滑 事件
99,馬克杯 是否 適用 商品標示 法 疑義
45,參加 臺北市 原住民 族 兒童 暨 少年 合唱團
12,市政 大樓 地下 停車場 位置
58,列管 山坡地 住宅 社區 是否 代表 居住 環境 危險
80,自動駕駛 小巴 將來 會往 方向 發展 是否 影響 大眾 運輸 從業人員 工作
7,違反 能源 管理法 執行 項目 罰則 為何
66,住家 多久 清理 一次 化糞池
120,外籍 小孩 大陸 地區 小孩 轉回 臺北市學校 就學 國小 需 辦理 應 具備 文件
51,癲癇 抽搐 發作 時 處置
99,申請 設立 公司 負責人 有無 年齡 限制
55,申請 職業輔導 評量
140,木柵 垃圾 焚化 廠 回饋 設施 博嘉運動公園 設施
141,請問 公有 零售 市場 有空 攤 可供 申請 短期 使用 申請
94,請問 生命 有約 幼兒 生命教育 統整 教學 哪裡 買到 每本 元
72,健保 看病 時健保 IC卡 使用 自費 就醫 事後 辦理 退費
51,火災 發生 時 逃生 狀況 方法
20,想 查詢 警察局 開立 之裁 罰金 辦理 罰金 分期 洽詢
136,申請 工廠 登記 工廠 租賃 無法 取得 水費 申辦
102,臺北市 共有 里 鄰
19,補助 經濟 因素 繳交 營養午餐 學生 是否 提供 協助
47,駕駛 加班 加班費 應 支給
29,請問 公寓大廈 養狗
133,臺北市 光纖 網路 委外 建設 暨 營運 案 臺北市政府 出資 興建
105,迪化 污水處理 場 附設 休閒 運動公園 壘球場 申請 借用 須知
95,為何 有分 攤 總表 差額
104,保護 令 種類 及聲 請
84,請問 無照營業 攤販 檢舉
145,請問 臺北市立美術館 圖書室 書刊 是否 外借
130,北投 焚化 廠 戴奧辛 排放 濃度 檢測 日期 檢測 內容 相關 資訊 是否 公開
143,請問 退休 後 改名 是否 影響 退休 俸 發放 是否 教育局 告知
30,使用 YouBike 還車 時 卡片 餘額 不足
3,想要 收養 小孩 不知 道 哪裡 申請
72,健保 臺北市 老人 健保 自付 額 補助 資格 為何
72,社會 請問 辦理 身心障礙 證明 應 具備 證件
19,校園 開放 臺北市 公立 各級 學校 泳池 借用
51,本市 申請 田野 引火 燃燒 施放 天燈
47,臺北市政府 公務人員 健康檢查 辦理 方式
82,市民 家中 注射 過後 醫療 針筒 丟棄
131,防火巷 排水溝 損壞 堵塞 報修
79,已 開闢 公園 網站 哪裡 查詢
59,勞資 會議 代表 任期 多久 起算
9,持 敬老 愛心 悠遊卡 已往 生 家人 辦理 註銷
59,勞動局 報請 勞資 會議 勞資 代表 名冊 備查 是否 相關 文件 可供 下載 使用
95,避免 電子 帳單 被定 垃圾 信件
127,養 狗貓 咬傷
12,市政 大樓 電梯 LCD 螢幕 申請 外界 私人企業 申請
15,公務 預算 基金 預算 有何
140,木柵 廠 回饋 設施 游泳池 免費 使用 對象
67,勞工 因故 需要 早退 小時 可否 小時 移至 隔天 隔 天工 時變 小時
138,我發 現有 幼犬 貓在 同一 位置 已經 超過 天 叫聲 越來越 虛弱 看到 狗 媽媽 貓 媽媽 帶走
37,代辦 工程 大安 老人 服務 暨 日間 照顧 中心 新建 工程 案 完成 後 效益 為何
48,使用 透明 塑膠 奶瓶 儲存 母奶
85,房屋 一部分 作 住家 一部分 作 營業 可不可以 申請 地價稅 自用 住宅 用地
142,申請 防空 避難 處所
38,翡翠水庫 是否 釣魚 捕 撈 魚 行駛 船筏 浮具 放生 從事 水上 活動 行為
5,特殊 境遇 家庭 扶助 扶助 對象 中 何謂 祖父母 扶養 歲 以下 父母 無力 扶養 孫子 女
132,出租人 不願 遵守 直轄市 或縣 市 政府 房屋 租金 所為 強制 減定 得否 終止 租約
72,民政 公寓大廈 成立 管理組織 應向 申報
49,查詢 公廁 分布 地點
18,拆遷 補償 捷運 系統工程 穿越 私有土地 上空 地下 土地 登記簿 標示 部 註明 捷運 系統工程 穿越 適用 條件 為何 補償費 計算 發放 補償費
93,違章 建物 申請
104,發生 性騷擾 時 單位 求助
117,區段 徵收 土地 農作 改良 物 合法 建築物 補償費 違章建築 拆遷 處理費 所有權 人 逾期 領取 應 處理
14,工廠 是否 可將 未 驗證 產品 貼 CAS 標章
33,變更 演藝 團體 團址
122,申請 本市 團體 辦理 客家文化 語言 相關 研習 計畫 補助
16,審議 核定 提早 入 學者 想讀 國小 辦理
35,試問 哪一條 法令 辦理 停車 銷單 時須 檢附 身心障礙 專用 停車位 識別證
138,動物 救援隊 提供 服務項目 服務 時段 為何
28,申請 都市計畫 道路 規劃 標高 水準點 資料
57,請問 裝修 工程 是否 需要 申報 空污 費 申報 須 準備 資料
18,聯合開發 土地 開發 捷運 設施 結合 方式
38,翡翠水庫 是否 釣魚 捕 撈 魚 行駛 船筏 浮具 放生 從事 水上 活動 行為
61,機關 因公 租用 計程車 之應 注意事項
134,消費者 取得 安全衛生 禽肉
34,臺北捷運 是否 節車廂 皆 設置 博愛 座 有效 推廣 博愛 座 宣導 提醒 旅客 適時 讓座 真正 需要 人
60,機電 設施 環狀線 第一階段 工程 路線 型式 為何
23,年齡歧視
87,無法 親洽 辦理 可否 委託 辦理
117,重劃 區 工程施工 阻礙交通 噪音 擾鄰 挖損 鄰近 中油 自來水 電力 電信 瓦斯 有線電視 管線 建物 情形 應 反映
21,請問 市府 紀念品 中心 位
22,請問 陳述 申訴 多久
136,講習 時數 計算
30,中華民國 國籍 人 住 陽明山 申請 仰德大道 通行證
2,身心障礙者 輔具 費用 補助 洽辦 單位
59,請問 勞資 會議 名冊 報備 問題 臺北市政府 局處 諮詢
110,助 妳 好孕 請問 國外 出生 小孩 領取 生育 獎勵 萬元
135,想去 動物 家當 志工
42,加班 後 未 支領 加班費 補休 規定 為何
121,教師 可否 報名 本處 平日 公假 班期
88,辦理 質借 時 需帶 證件
75,醫療廣告 是否 須先經 衛生機關 核准
48,貴院 性病 門診 預約 掛號
80,本次 自動駕駛 小巴 實驗 目的 為何
25,輪狀病毒疫苗 補助 接種 計畫 對象 醫療 院所 接種 輪狀病毒疫苗 需要 額外 付費
143,請問 外縣市 介聘 是否 缺額 預知 今年 是否 舉辦
33,請問 索取 臺北當代藝術館 活動 表 相關 訊息
49,兩袋 合一 執行
45,請問 臺北市 市民 承租 房子 補助 措施
96,補習班 定義 為何 是否 主管機關 核准 開班 招生
46,請問 稅捐稽徵 機關 復 查 決定 後 納稅 義務人 復 查 決定 稅額 或罰 鍰 金額 不服 救濟 途徑 為何
46,查詢 納稅者 權利 保護法 相關 法令 訊息
103,邇來 詐騙集團 猖獗 手法 不斷 推層 出新 以下 提供 民眾 新興 常見 詐騙 手法 避免 成為 歹徒 覬覦 對象
108,想 開設 寵物 美容 工作室 需要 注意 事項 哪裡 詢問 限制
11,申請 成立 社區發展 協會 準備 文件
115,民眾 參與 內湖垃圾焚化廠 廢棄物 進廠 檢查 作業 資格 限制 申請 程序 為何
125,臺北市自行車道 規劃 方式 為何
120,國小 新生 入學 入學 通知單 收到 尚未 收到 入學 通知單 應向 單位 接洽
108,請問 華江 雁鴨 自然 公園 每年 觀賞 雁鴨 時間 為何 自然 公園 哪裡 最 適合 觀賞 雁 鴨
88,臺北市政府 富邦 股東 是否 台北 富邦銀行 進行 業務 督導
8,報名 成為 志工
59,狀況 需要 勞動局 報 勞資 會議
18,聯合開發 叫做 土地 開發
57,如因 車輛保養 因素 無法 環保局 要求 期限 檢該
135,前 幾天 動物 之家 認養 一隻 狗狗 貓咪 帶回 家後 家人 辦法 接受 牠 請問 我可以 牠 帶回去
90,查詢 藝文 推廣 處 藝文 大樓 展覽 活動
82,食用 後 燉湯 後 剩下 骨頭 分類
136,環境 講習 繳錢 還要 上課
142,申請 畸零 調處
79,關渡 花海 活動 時間 地點 為何
118,線上 預約 申請 取消 修改 取 書館
7,臺北市 執行 能源 管理法 第八條 指定 能源 用戶 應 遵行 節約能源 規定 查核 項目 檢查 方式 為何
106,迪化 廠 生水 每日 少量 提供 外界 使用量
72,健保 父母 離婚 不知去向 子女 年幼 叔伯 扶養 子女 參加 全民健康保險
18,聯合開發 土地 開發 用地 幾種 取得 方式
102,臺北市 區里界 說 內容 為何 取得
36,行車 事故 鑑定 需 時間
19,校園 開放 臺北市學校 運動 設施 借用
54,自行車 可否 騎乘 騎樓 人行道
88,販售 逾期 菸酒 罰則 為何
41,稅捐處 全功能 服務 櫃檯 上班時間 地方稅 業務
101,勞動 教育 補助 案 核准 後 課程 計畫 如有 變更 應 辦理
3,申請 危機 家庭 兒童 少年 委託 安置 暨 收容 費用 補助
86,被害人 死亡 請求權 人 請求 賠償
60,機電 設施 捷運 文湖線 電聯車 淡水線 電聯車 搭載 腳踏車
43,辦理 姓氏 異動
144,土地 徵收 前 是否 應先 所有權 人 協議
41,父母 每年 存 錢 小孩 戶頭
129,前往 內湖復育園區 交通路線
28,現場 都市計畫 樁 位 申請 恢復
127,請問 為何 只 針對 山區 地區 實施 免費 狂犬病 預防注射
69,社會 本市 各項 社會福利 社會救助 項目 請 參考 台北 市政府 社會局 網站
43,新蓋 房屋 申請 門牌
139,押 標金 履約保證 金 差額 保證金 保固 保證金 繳納 方式 為何
10,臺北市 補助 工商 團體 廠商 海外 參展 計畫 核銷 撥款 應備 文件 為何
98,車輛 已 出售 新 車主 卻 拒不 辦理 過戶 交通 違規 案件
91,已 收到 退稅 公文 為何 收到 支票
81,工讀 期間 請假 請假 扣 薪水
83,臺北市立文獻館 開辦 動線 史蹟 解說 報名 是否 收取 費用
134,搭乘 大眾 運輸工具 抵達 臺北 花卉 批發市場 俗稱 台北 花市
60,機電 設施 環狀線 第一階段 工程 路線 型式 為何
15,取得 臺北市 人口數 各項 統計資料
73,本市 行政區域 里界 調整 後 今年 國中 學區 是否 變動
60,機電 設施 臺北捷運 系統 電 扶梯 為何 忽快忽慢
17,臺北市 生育 補助 婚後 孕前 健康檢查 孕婦 唐 氏症 篩檢 受檢 地點 辦理 方式
18,路網 規劃 台北 捷運系統 帶來 好處
57,固定 污染源 管制 操作 許可證 期限 為何
88,申報 綜合 所得稅 疑義
46,納稅者 申請 臺北市 稅捐稽徵 處納 保官 協助
46,不服 稅捐稽徵 機關 核定 稅額 處分 復 查 程序 是否 直接 提起 訴願
67,應 進行 安全 屋頂 拆除 作業
10,製造業 相關 技術 服務業 五年 免稅 新興 重要 策略 性產業 奬 勵 辦法 完成 證明 申請書 中 開工日期 定義
67,起重 升降機 具 安全 規則 第十八條 規定 標示 應 辦理
70,何謂 市民 小巴 計費
101,勞動 教育 聘請 講師 應 具有 資格
142,如欲向 建築 管理 工程處 查詢 土地 是否 建築 執照 法定 空地 應 檢附 資料
67,事業單位 僱用 勞工 人 以上 需要 制定 安全衛生 工作守則
60,機電 設施 捷運系統 電 扶梯 是否 發生 倒 滑 事件
10,申請 工廠 登記 變更 登記 事項 申辦 規費 應於 申請 時 繳納 核准 後 繳納
102,區公所 下班時間 為何 是否 夜間 服務
138,私人 住家 是否 可養 狗 貓 豬 鴿子 雞
91,兄弟姊妹 可否 稅捐稽徵 處 申請 查調 兄弟姐妹 財產 所得 資料
108,查詢 土地 是否 位於 本市 野生動物保護區 野生動物 重要 棲息 環境 檢附 資料
4,查詢 臺北市 老人 福利 機構 名單 床位 狀況
73,戶籍 國中 學區 遷移 是否 有時 間 限制
41,請問 收到 所得稅 補稅 通知 一些 問題 問 單位
17,請問 臺北市 學齡前 兒童 聽力 篩檢 對象 為何
114,鄰里 交通 環境 改善 計畫 執行程序 安排
74,闢建 拓寬 人行道 涉及 既存 違建 含 雨棚
127,流浪 狗 貓又
78,未經 申請 許可 擅自 搭設 臨時 活動舞臺 帳篷 棚架 設施 處罰 為何
29,簡要 說明 臺北市 違規 廣告 物 優先 查處 原則 內容 開罰 原則
128,請問 申請 團體 預約 導覽
128,請問 申請 團體 預約 導覽
132,何謂 契約 審閱 權 不動產 相關 契約 審閱 期間 多久
98,民眾 繳交 交通 違規 罰 鍰 何種 用途
129,前往 內湖復育園區 交通路線
118,辦理 悠遊卡 借閱 證有 身分 限制
53,法律 服務業 僱用 法務 人員 符合 勞動基準法 施行細則 第五 十條 第二款 規定 電視業 發射站 中繼站 轉播站 外 站台 工作人員 以上 適用 勞動基準法 條之 工作者 工時 限制 為何
46,駁回 申請 退還 溢繳 稅款 不服 可否 逕行 提起 訴願
47,員工 因公 傷亡 慰問金 申請 條件 為何
43,超過 結婚登記 期限 未登記 是否 相關 罰則
144,土地 徵收 核准 後 直轄市 或縣 市 政府 辦理 公告
85,作為 公共 通行 騎樓 用地 可不可以 減免 地價稅 檢附 證明文件
116,重新 規定 地價 依據 標準 何在
24,休息日 出勤 是否 需 符合 勞動基準法 條第 項所定 程序 工會 勞資 會議 同意
45,原住民 學生 生活 津貼 申請 家庭收入 限制
129,內湖復育園區 前身 復 育成 環保 綠地
130,廢棄物 代 處理 申請 家戶 或非 事業廢棄物 臨時 自行 清運 委託 處理 申請
25,民眾 選擇 優質 游泳 場所
69,健保 弟弟 剛由 軍中 退伍 健保
97,市區 道路 使用費 計費 基準 值及 值 為何
62,農地 已有 農舍 辦理 分割 應 準備 文件
6,申請 借住 平價 住宅 資格 為何 平價 住宅 可供 申請 申請
89,請問 天文館 停車場 收費 標準 為何
80,完全 使用 電腦 報名 參加
98,更改 罰單 寄送 地址 寄至 通信地址
44,先 開立 臨時 收據 開立 正式 收據 貼花
91,兄弟姊妹 死亡 兄弟姐妹 可否 稅捐稽徵 處 申請 查調 財產 所得 資料
52,世界大學運動會
30,YouBike微笑單車 場站 操作 借車 還車
49,專用 垃圾袋 抵價券 地方 換抵 有效期限 多久
60,機電 設施 文湖線 新購 電聯車 不改 寬 一點
65,市民 辦理 公益 宣導 市政 政策 藝文 活動 需 申請 調整 本市 垃圾車 播放 音樂 時間 音量 處理
104,處理 家庭暴力 防治 工作 標準 作業 流程
95,複查 更正 核退 水費 辦理 退費
21,確認 合法 旅館 日 租 套房
105,迪化 溫水 游泳池 目前 作 何用途 使用
52,世界大學運動會 奧林匹克運動會 有何
27,職工福利 委員會 年度 預算書 決算書 報備 資料
101,勞動 教育 補助 案中 門票 費用 申請 核銷 屬於 何種 補助 項目
118,悠遊卡 受理 類型 有限 制
141,已 申請 且經 臺北市 市場 處 核准 配租 公有 零售 市場 空攤 未 規定 期限內 完成 配租 手續 可否 展期
7,請問 用電 場所 之用 電設備 需 多久 檢查 一次 是否 需 呈報 主管機關 備查
44,何謂 銀錢 收據
120,國小 同一 學區 遷移 戶籍 設籍 日應 計算
93,都市更新條例 完成 修法 前 已報 核 尚未 報核 事業 概要 處理
79,請問 得知 田園城市 基地 認養 相關 資訊
93,辦理 都市更新 流程
38,蕨色 翡翠 園區 有何 特色
115,內湖垃圾焚化廠 葫蘆 洲 運動公園 游泳池 免費 使用 對象 兒童 無 身分證 時
83,可查 臺北市 發展 歷史 圖片 工商 歷史 圖片 都市 演進 繁榮 圖片
118,還書 一定 當初 借書 館還
48,自動 掛號 機 掛號 號碼 櫃檯 號碼 後面 預約 門診 預約 幾天
78,臺北市 河濱公園 開放 烤肉 地有
132,查詢 不動產 經紀 業 管理條例 相關 法規
33,牯嶺街小劇場 建物 修復 工程 暫時 休館
140,申請 臺北市政府環境保護局 木柵 垃圾 焚化 廠 博嘉運動公園 游泳池 兒童 證
90,藝文 推廣 處 文山 劇場 演出 活動 若為 贈票 可至 索票
49,使用 專用 垃圾袋 遭 環保 人員 告發 偽袋 申訴
39,請問 公幼 缺額 是否 學期 中 插班 是非 暑假 進班
61,如認 本府 分辦 公文 屬於 機關 主管 業務範圍 時 應 處理
124,失業 勞工 參加 職訓 可否 申請 訓練 津貼 生活 補助
44,使用 未經 驗印 娛樂 票券 算不算 逃漏 娛樂 稅 處罰
53,請問 未 投保 勞工保險 員工 適用 職安法
20,接到 毒防 中心 個案 管理 師的 關心 電話
129,內湖復育園區 前身 復 育成 環保 綠地
136,公害 糾紛 調處 案件 當事人 撤回 申請 時 已 繳納 費用 是否 退還
24,年終獎金 是否 屬 工資 範疇
84,春節 端午節 中秋節 三個 重要 民間 節慶 期間 廠商 攜 大量 小額 禮品 贈與 本局 暨 所屬 機關 同仁 本局 同仁 可否 收受 廠商 此舉 是否 符合 臺北市政府 公務員 廉政 倫理 規範 點第 款 所稱 社會 禮儀 習俗
27,職工福利 委員會 成立 後 如因 公司 營運 不佳 員工 人數 銳減 人 以下 可否 停止 辦理 職工福利 事項 辦理 註銷 職工福利 委員會
104,性 侵害 遭受 性 侵害 時 單位 求助 警察機關 保護措施 流程
18,路網 規劃 捷運系統 型式
101,核准 補助 單位 辦理 勞動 教育 完成 後 應 辦理 核銷
35,臺北市 停車 管理 工程處 服務 臺地 點及 服務 時間
88,販售 逾期 菸酒 罰則 為何
66,事業 設立 辦理 水污染 防治 申請
113,如有 計程車 強佔 地盤 處理
108,動保處 是否 執行 臺北市 生態 調查 工作
110,助 妳 好孕 每胎 萬元 生育 獎勵金 單親 媽媽 未婚 媽媽 領嗎
142,請問 申請 合法 房屋 證明
7,請問 電器 承裝業展 延應 辦理
9,長青 學苑 報名 資格 上課 地點 洽詢 單位
14,農產品 農產 加工品 有機 名義 販賣 應 辦理
92,已依 規定 檢驗 未滿 五年 新車 收到 本局 寄送 逾期 未 實施 定期檢驗 通知單 是否 需 再次 檢驗
112,買賣 契約書 應否 訂立 取得 產權 保證
94,青年 留貸 青年 留學 貸款 申請人 如於 中途 轉學 休學 退學 應 處理 於寬 限期 屆滿 前 休學 後 復學 寬限期 延長
106,迪化 廠 生水 每日 少量 提供 外界 使用量
90,借用 藝文 推廣 處 城市 舞台 藝術廣場
61,洽詢 秘書處 律師 建築師 地政 士 專業 諮詢服務
116,臺北市政府 為何 編 製 住宅 價格指數 希望 達到 效果
126,食品中毒
107,數位 學生證 優缺點 為何
44,娛樂 稅 代徵 人 舉辦 臨時性 活動 書面 保證 應由 具保
49,廢 日光燈 廢 玻璃容器 回收
66,事業 設立 辦理 水污染 防治 申請
46,納稅 義務人 稅捐稽徵 機關 核定 稅額 或罰 鍰 處分 不服 申請 復 查時 應 檢附 資料
65,非 當天 分類 規定 資源回收 物去 丟 拒絕
7,檢查 瓦斯 漏氣 簡便 方法
14,進口 農產品 未經 主管機關 核發 有機 標示 同意 文件 前 業者 自行 產品 上標 貼 外國 文字 ORGANIC ORGANICFARMING AGRIKULTURAORGANIKA 標示 標章 是否 違反規定
37,交通 維持 請 說明 萬 大線 信義線 東延段 施工 期間 管理 防治 施工 噪音 振動
100,請問 中山堂 有無 招募 志工
7,未 取得 溫泉 開發 許可 溫泉 水權 是否 需 繳納 溫泉 取用 費
43,自然人 憑證 忘記 密碼 卡片 鎖住 鎖卡 解碼 處理
118,為何 圖書館 冷氣 彈性 開放 室溫 達到 開放
98,車輛 已 出售 新 車主 卻 拒不 辦理 過戶 交通 違規 案件
126,消費者 企業經營者 商品 服務 發生 消費 爭議 時該 申訴
82,申請 有害 廢棄物 輸入
73,私立高中 職學雜 補助 相關 事宜 請問 是否 資料 掛在 網上 查詢
33,請問 西門紅樓 地址 連絡 電話
16,國小 身心障礙 新生 入學 辦理 入學 鑑定 申請 時間 相關 證件 為何
56,房屋 土地 可否 質借
111,臺北市 寺廟 財團法人 相關 資訊 地址 電話 是否 公布 網站
45,參加 臺北市 原住民 族 兒童 暨 少年 合唱團
54,配戴 安全帽 相關 法律 規定 為何
83,國外 古物 申請 運入 國內 展覽 單位 申請
54,車主 駕駛 人至 拖吊 場領 車時 可否 立即 索取 告發 單及 採證 相片
120,戶籍 設籍 時間 先後 計算 父母 學生 基準 全家人 設在 一起
89,請問 天文館 是否 提供 廣播 尋人 服務
31,已 代收 機構 繳納 交通 違規 罰 鍰 為何 網路 查詢 時 違規 紀錄
72,健保 看病 時健保 IC卡 使用 自費 就醫 事後 辦理 退費
98,開紅 單時 稽查人員 代 保管 證件 車牌 送到 裁決
68,請問 申請 樹 花葬
42,勞動基準法 正常 工時 延長 工時 規定 為何
144,土地 權利 關係人 公告 事項 補償 額 如有 異議 應 辦理
96,高中 國中 同等學力 證明 遺失 辦理
113,搭船 碼頭 分布 位置
121,報名 參加 本處 平日 公假 班 流程 為何
21,發行 出版品 錄影 節目 帶及 經營 電影院 是否 須 辦理 相關 登記
12,市政 大樓 東南 景觀 區 人工 沙灘 是否 租借 舉辦活動
76,若要 辦理 門牌 分戶 更動 住宅 牆面 時 應備何 文件 申請 室內 裝修 行為 相同
13,臺北市立 陽明 教養院 接送 交通車
131,瞭解 市區 過去 曾 積水 地點 應 查詢
54,自行車 行駛 規定 為何 是不是 行駛 人行道
34,捷運 文湖線 遇 地震 發生 時有何 應變措施
130,污染 防治 監測 監督 北投 焚化 廠 排放 廢氣 廢水 監測
69,健保 健保 卡 更新
112,施工 噪音 過大該 處理
128,參觀 大熊貓 是否 抽取 號碼牌 參觀 票券 假日 等候 時間 行程 規劃
124,臺北市 職能 發展 學院 場地 租借 需 親至 現場 辦理
35,停車場 收費 標準 訂定
43,辦理 性伴侶 註 記 之後 戶政事務所 提供 證明文件
107,製 卡 內容 錯誤 重製 時 學生 是否 需 繳交 費用
48,家 失智症 長輩 突然 變得 情緒 暴躁 出現 妄想 行為 是不是 失智症 病況 加重
134,搭乘 大眾 運輸工具 抵達 臺北 花卉 批發市場 俗稱 台北 花市
132,不動產 經紀人 證書 何種 情況 下會 註銷 註銷 後 可否 重新 申請
5,弱勢 家庭 兒童 托育 補助 申請 流程
13,臺北市立 陽明 教養院 入院 申請 資格
63,陳情 案件 處理 時效 為何
33,遺失 演藝 團體 登記證 補發
45,參加 臺北市 原住民 族 兒童 暨 少年 合唱團
109,我家 坐落 高度 土壤液化 潛勢 區 範圍 我該
114,申請 使用 道路 舉辦 臨時 活動 應 備齊 資料
107,數位 學生證 刷卡 確實 到校 卻 未 刷卡 造成 系統 誤發 簡訊 情形
114,借用 道路 舉辦 臨時 活動 適用 活動 內容 為何
18,機電 設計 捷運 電力系統 之主 變電站 是否 電磁場 干擾 問題
146,行道樹 茂盛 樹枝 已 影響 住家 請 派員 修剪 以維 住家 安全
38,請問 欲 參訪 翡翠水庫 申請
88,販售 逾期 菸酒 罰則 為何
42,考績 年度 請事 病假 合計 未 超過 日 當年 年終考績 是否 一定 甲等
104,性 侵害 遭受 性 侵害 時 單位 求助 警察機關 保護措施 流程
5,哪裡 腸病毒 相關 問答
36,本所 肇事 鑑定 不服 提出 覆議
137,針對 民眾 反映 本市 聯營公車 過站 站 不停 案件 回 復 內容
92,警察局 監理 站 環保局 辦理 聯合 稽查 取締 機車 改裝 排氣管 專案 請問 取締 標準 為何 環保局 產生 噪音 車輛 管制
22,罰 鍰 重繳 溢繳 誤繳 時 辦理 退款 退款 需要 幾天 辦理
89,請問 天文館 內有 提供 無線 上網 服務
48,申請 身心障礙 鑑定 所需 證件 為何 要掛 一科 鑑定 時間 為何 報告 完成 需 工作 天 請領 身心障礙 手冊
140,民眾 參觀 木柵 焚化 廠要 申請
130,民眾 參與 北投 焚化 廠 廢棄物 進廠 檢查 作業 資格 限制
85,房屋 納稅 義務人 住址 不明 居住 房屋 所在地 房屋 稅 應該 何人 繳納
